DHP,CAN-EYE Version,Species,Date DHP,Date DHP.1,NameESU,X-WGS84,Y-WGS84,PAIeff – CE,PAIeff CE V5.1,PAIeff – P57,PAIeff Miller,"PAIeff – LAI2000, 3 rings","PAIeff – LAI2000, 4 rings","PAIeff – LAI2000, 5 rings",PAItrue – CE,PAItrue – CE V5.1,PAItrue – P57,PAItrue – Miller
DHP,V6.495,winter oilseedrape,20180405,2018-04-05,ANJ-29,1.155629,43.495258,0.6,0.72,0.6,0.79,1.13,0.88,0.72,0.77,0.85,0.78,0.82
DHP,V6.495,winter oilseedrape,20180404,2018-04-04,BLA-1-6,1.23294,43.48618,0.88,0.97,0.88,0.98,1.32,1.12,0.93,1.1,1.0,1.1,1.07
DHP,V6.495,winter oilseedrape,20180405,2018-04-05,BLA-5-13,1.23047,43.47841,1.57,1.75,1.57,1.75,2.76,2.16,1.79,2.12,2.15,2.12,2.14
DHP,V6.495,winter oilseedrape,20180406,2018-04-06,BOP-9,1.23201,43.49356,1.85,2.14,1.85,2.09,2.44,2.2,1.82,3.17,2.49,3.17,2.26
DHP,V6.495,winter oilseedrape,20180404,2018-04-04,BOX-3,1.27255,43.46667,0.96,1.15,0.95,1.24,1.87,1.39,1.14,1.3,1.46,1.3,1.31
DHP,V6.495,winter oilseedrape,20180404,2018-04-04,BOX-4,1.275938,43.4642399999999,0.74,0.82,0.73,0.79,1.23,1.02,0.84,1.08,1.11,1.08,0.84
DHP,V6.495,winter oilseedrape,20180406,2018-04-06,BRA-54,1.190505,43.469664,1.74,1.92,1.74,1.96,2.77,2.31,1.9,2.47,2.34,2.47,2.15
DHP,V6.495,winter oilseedrape,20180405,2018-04-05,BRA-59,1.204744,43.471982,1.5,1.6,1.5,1.63,2.32,1.94,1.62,2.16,1.96,2.16,1.81
DHP,V6.495,winter oilseedrape,20180406,2018-04-06,BRA-70,1.19409,43.4724,1.36,1.53,1.36,1.57,2.39,1.86,1.54,2.01,2.09,2.01,1.75
DHP,V6.495,winter oilseedrape,20180405,2018-04-05,MER-27,1.233909,43.466925,0.62,0.69,0.62,0.73,0.89,0.75,0.62,0.98,0.84,0.97,0.77
DHP,V6.495,winter wheat,20180502,2018-05-02,ANJ-28,1.155859,43.491889,,,,,,,,,,,
DHP,V6.495,winter wheat,20180505,2018-05-05,AUZ-10-1-PP,1.50948,43.5261,,,,,,,,,,,
DHP,V6.492,winter wheat,20180505,2018-05-05,AUZ-2-2-ME,1.50384,43.52591,,,,,,,,,,,
