Sequent_N,Ref_N,Date,Hour_UTC+1,Operator,Latitude,Longitude,CropHeight,BBCH,Crop-EN,Crop-ES,Crop-FR,Crop-IT,Crop-LA,Crop-PL,Rowsp_(cm),RowOr(deg),SkyCond,LicorLAI,std_Licor,PocketLAI,std_PockLA,AccuPAR,std_AccuPA,Note
"56",AA.S_Capitanata.44_2017_LAI,22-Mar-2017,11:15 AM,Riefolo C. - Ruggieri S.,"41.643755","15.504139",30-50 cm,"38",Horse beans,,,Favino,Vicia Faba var. minor Beck.,,,,Sunny - no clouds,"1.910","0.780",,,,,
"57",AA.S_Capitanata.45_2017_LAI,22-Mar-2017,11:19 AM,Riefolo C. - Ruggieri S.,"41.642921","15.503677",>50 cm,"35",Barley,,,Orzo,Hordeum vulgaris L.,,,,Sunny - no clouds,"5.630","0.610",,,,,
"58",AA.S_Capitanata.46_2017_LAI,22-Mar-2017,11:23 AM,Riefolo C. - Ruggieri S.,"41.644078","15.503602",30-50 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"2.760","0.440",,,,,
"59",AA.S_Capitanata.47_2017_LAI,22-Mar-2017,11:26 AM,Riefolo C. - Ruggieri S.,"41.644078","15.503602",30-50 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"3.760","1.450",,,,,
"60",AA.S_Capitanata.48_2017_LAI,22-Mar-2017,11:43 AM,Riefolo C. - Ruggieri S.,"41.648969","15.497394",10-30 cm,"35",Barley,,,Orzo,Hordeum vulgaris L.,,,,Sunny - no clouds,"2.370","1.000",,,,,
"61",AA.S_Capitanata.49_2017_LAI,22-Mar-2017,11:47 AM,Riefolo C. - Ruggieri S.,"41.647904","15.496288",>50 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"4.230","0.490",,,,,
"62",AA.S_Capitanata.50_2017_LAI,22-Mar-2017,6:06 PM,Riefolo C. - Ruggieri S.,"41.587358","15.554249",10-30 cm,"35",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"2.140","0.080",,,,,
"63",1NT_STRATEGA_20170329_LAI,29-Mar-2017,10:36 AM,Colecchia S.A. - De Santis A.P.,"41.464561","15.507254",30-50 cm,"32",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"0.855","0.219",,,,,
"64",2CT_STRATEGA_20170329_LAI,29-Mar-2017,10:44 AM,Colecchia S.A. - De Santis A.P.,"41.463258","15.506586",30-50 cm,"32",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"1.390","0.198",,,,,
"65",3NT_STRATEGA_20170329_LAI,29-Mar-2017,10:49 AM,Colecchia S.A. - De Santis A.P.,"41.462251","15.506075",30-50 cm,"32",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"0.610","0.184",,,,,
"66",4CT_STRATEGA_20170329_LAI,29-Mar-2017,10:54 AM,Colecchia S.A. - De Santis A.P.,"41.461017","15.505510",30-50 cm,"32",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"1.800","0.589",,,,,
"67",5NT_STRATEGA_20170329_LAI,29-Mar-2017,10:57 AM,Colecchia S.A. - De Santis A.P.,"41.460122","15.504875",30-50 cm,"32",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"0.883","0.116",,,,,
"68",6CT_STRATEGA_20170329_LAI,29-Mar-2017,10:09 AM,Colecchia S.A. - De Santis A.P.,"41.459542","15.505743",30-50 cm,"32",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"0.753","0.194",,,,,
"69",7NT_STRATEGA_20170329_LAI,29-Mar-2017,10:16 AM,Colecchia S.A. - De Santis A.P.,"41.460793","15.506305",30-50 cm,"32",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"0.790","0.198",,,,,
"70",8CT_STRATEGA_20170329_LAI,29-Mar-2017,10:21 AM,Colecchia S.A. - De Santis A.P.,"41.462031","15.506923",30-50 cm,"32",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"0.770","0.191",,,,,
"71",9NT_STRATEGA_20170329_LAI,29-Mar-2017,10:26 AM,Colecchia S.A. - De Santis A.P.,"41.463218","15.507459",30-50 cm,"32",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"0.783","0.106",,,,,
"72",10CT_STRATEGA_20170329_LAI,29-Mar-2017,10:33 AM,Colecchia S.A. - De Santis A.P.,"41.464351","15.508019",30-50 cm,"32",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"1.700","1.067",,,,,
"73",A_CREA-CI_20170405_LAI,5-Apr-2017,9:47 AM,Colecchia S.A. - De Santis A.P.,"41.460898","15.495710",30-50 cm,"34",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"3.303","0.029",,,,,
"74",B_CREA-CI_20170405_LAI,5-Apr-2017,10:05 AM,Colecchia S.A. - De Santis A.P.,"41.459686","15.495366",30-50 cm,"34",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"1.267","0.236",,,,,
"75",C_CREA-CI_20170405_LAI,5-Apr-2017,10:30 AM,Colecchia S.A. - De Santis A.P.,"41.462899","15.493291",30-50 cm,"34",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"3.843","0.387",,,,,
"76",D_CREA-CI_20170405_LAI,5-Apr-2017,10:44 AM,Colecchia S.A. - De Santis A.P.,"41.463135","15.494309",30-50 cm,,Vetch,Arveja,Vesce,Veccia,Vicia L.,Wyka,,,Sunny - no clouds,"7.670","0.786",,,,,
"77",E_CREA-CI_20170405_LAI,5-Apr-2017,11:06 AM,Colecchia S.A. - De Santis A.P.,"41.467168","15.501136",30-50 cm,"34",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"3.577","0.175",,,,,
"78",F_CREA-CI_20170405_LAI,5-Apr-2017,11:24 AM,Colecchia S.A. - De Santis A.P.,"41.465804","15.506873",30-50 cm,"34",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"4.533","0.155",,,,,
"79",G_CREA-CI_20170405_LAI,5-Apr-2017,11:41 AM,Colecchia S.A. - De Santis A.P.,"41.465444","15.512070",30-50 cm,"34",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"3.280","0.516",,,,,
"80",H_CREA-CI_20170405_LAI,5-Apr-2017,12:04 PM,Colecchia S.A. - De Santis A.P.,"41.461733","15.519886",30-50 cm,"34",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"1.450","0.235",,,,,
"81",I_CREA-CI_20170405_LAI,5-Apr-2017,12:11 PM,Colecchia S.A. - De Santis A.P.,"41.461003","15.521225",30-50 cm,"34",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"1.477","0.220",,,,,
"82",L_CREA-CI_20170405_LAI,5-Apr-2017,12:20 PM,Colecchia S.A. - De Santis A.P.,"41.460509","15.522207",30-50 cm,"34",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"1.637","0.179",,,,,
"83",AA.V_P15_20170413_LAI,13-Apr-2017,8:39 AM,Vonella V.,"41.448630","15.502230",>50 cm,"41",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"5.588","0.605",,,,,
"84",AA.V_P16_20170413_LAI,13-Apr-2017,8:46 AM,Vonella V.,"41.448840","15.502850",>50 cm,"41",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"4.160","0.313",,,,,
"85",AA.V_P20_20170413_LAI,13-Apr-2017,9:11 AM,Vonella V.,"41.449690","15.502190",>50 cm,"41",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"5.016","0.579",,,,,
"86",AA.V_P25_20170413_LAI,13-Apr-2017,9:19 AM,Vonella V.,"41.450580","15.500740",>50 cm,"41",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"4.760","0.479",,,,,
"87",AA.V_SOFIA.1.A_20170413_LAI,13-Apr-2017,10:09 AM,Vonella V.,"41.451860","15.512410",>50 cm,"41",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"6.528","0.847",,,,,
"88",AA.V_SOFIA.1.B_20170413_LAI,13-Apr-2017,10:29 AM,Vonella V.,"41.451490","15.511600",>50 cm,"41",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"6.613","1.607",,,,,
"89",AA.V_SOFIA.2_20170413_LAI,13-Apr-2017,10:56 AM,Vonella V.,"41.451890","15.510050",>50 cm,"41",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"7.368","1.806",,,,,
"90",AA.V_SOFIA.3_20170413_LAI,13-Apr-2017,11:03 AM,Vonella V.,"41.451210","15.508830",>50 cm,"41",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"6.272","1.517",,,,,
"91",AA.V_LUCERA.FR_20170413_LAI,13-Apr-2017,3:07 PM,Vonella V.,"41.489190","15.362830",>50 cm,"41",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"3.768","1.070",,,,,
"92",AA.V_LUCERA.CE_20170413_LAI,13-Apr-2017,3:31 PM,Vonella V.,"41.489650","15.363320",30-50 cm,"51",Chickpea,,,Cece,Cicer arietinum L.,,,,Sunny - no clouds,"1.896","0.257",,,,,
"93",1NT_STRATEGA_20170511_LAI,11-May-2017,8:28 AM,Colecchia S.A. - De Santis A.P.,"41.464561","15.507254",>50 cm,"69",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"2.057","0.179",,,,,
