,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,StudySite,ESUnumber,CropType,CropHeight,Rowspacing,LeafType,PhenoState,RowOrienta,SkyCond,SamplStrat,Irrigation,b_Tilled,Operators,d_observa,X_UTM,Y_UTM,LAI_g_B_mi,fCover,LicorLAI,LAI_AccuPA,SD_LAI_Acc,B443_1,B490_1,B560_1,B665_1,B705_1,B740_1,B783_1,B842_1,B865_1,B945_1,B1610_1,B2190_1
63,POINT (347363.05586213834 4605262.7406826),2018-06-14,0.0338,0.0758,0.0378,0.5799,0.1184,0.4527,0.5659,0.6073,0.1727,0.0748,0,0,0,0,22,140,0,61,2018-06-16,-2 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180616-111245-493_L2A_T30TUM_C_V2-2_roi_0.tif,Greg,3101,LENTEJAS,50.0,0.0,B,-1,,PC,-1,R,0,VPG,a lot of weeds,347363.055861,4605262.74057,,,,5.912,0.33176799122,,0.0,0.0,,,,,,,,,
64,POINT (347380.8759697117 4605277.626380054),2018-05-11,0.0358,0.063,0.039,0.462,0.0852,0.3487,0.4564,0.4848,0.177,0.0807,0,0,0,0,24,146,0,69,2018-05-22,-11 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2B_20180522-111119-931_L2A_T30TUM_C_V2-2_roi_0.tif,Greg,2101,LENTEJAS,24.0,20.0,B,GU,,PC,D,R,0,VPG,el mismo ESU q 101. se conduce mesures in this campaign,347380.875969,4605277.62626,,,,2.256,0.35920746095,,0.0,0.0,,,,,,,,,
65,POINT (347397.86280344694 4605298.1591991875),2018-04-05,0.111,0.1648,0.1946,0.3181,0.2339,0.293,0.31,0.3303,0.3771,0.2958,0,0,0,0,33,153,0,55,2018-04-17,-12 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180417-110822-655_L2A_T30TUM_C_V2-2_roi_0.tif,Greg,101,LENTEJAS,3.0,18.0,B,EM,E-W,CL,S,R,1,VPG,el punto A es el mismo que en la campaña anterior. fotos del W17 se SSM,347397.862802,4605298.15908,,,,0.172,0.09576011696,,0.0,0.0,,,,,,,,,
66,POINT (357954.37875640846 4618225.985951681),2018-07-10,0.0314,0.0701,0.0384,0.5228,0.1068,0.4361,0.5241,0.5454,0.1999,0.0952,0,0,0,0,26,143,0,213,2018-07-26,-16 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180726-111615-739_L2A_T30TUM_C_V2-2_roi_0.tif,ITA,125,PATATA,35.0,70.0,B,FL,parallel to the way,CL,S,I,0,VPG,,357954.378755,4618225.98584,,,,0.36,0.17621010187,,0.0,0.0,,,,,,,,,
67,POINT (358061.9362637116 4618282.32512029),2018-07-10,0.0333,0.0747,0.038,0.5565,0.1144,0.4577,0.5523,0.5665,0.2036,0.0951,0,0,0,0,26,143,0,213,2018-07-26,-16 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180726-111615-739_L2A_T30TUM_C_V2-2_roi_0.tif,ITA,126,PATATA,35.0,70.0,B,FL,parallel to the way,CL,S,I,0,VPG,hay un cerco pelado cerca,358061.936263,4618282.325,,,,0.464,0.24058262614,,0.0,0.0,,,,,,,,,
68,POINT (356304.7496882689 4618300.4516613195),2018-07-10,0.0504,0.0867,0.1345,0.2376,0.1723,0.2143,0.2373,0.2836,0.2939,0.1911,0,0,0,0,26,143,0,206,2018-07-26,-16 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180726-111615-739_L2A_T30TUM_C_V2-2_roi_0.tif,ITA,134,CEBADA,70.0,10.0,N,SE,Parallel to the way,CL,D,R,0,NP,,356304.749687,4618300.45155,,,,3.572,0.66167968081,,0.0,0.0,,,,,,,,,
69,POINT (358213.07677279995 4618304.439719851),2018-07-10,0.0607,0.0906,0.1408,0.2323,0.1539,0.1984,0.2258,0.259,0.2969,0.19,0,0,0,0,26,143,0,214,2018-07-26,-16 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180726-111615-739_L2A_T30TUM_C_V2-2_roi_0.tif,ITA,127,MEZCLA AVENA-TRIGO,125.065,0.0,N,SE,,CL,D,-1,0,-1,sembrado trigo y avena loca. altura de los dos,358213.076772,4618304.4396,,,,1.78,0.39223717315,,0.0,0.0,,,,,,,,,
70,POINT (358281.8729802192 4618417.485120377),2018-07-10,0.056,0.0846,0.1272,0.221,0.1517,0.1841,0.207,0.2424,0.2896,0.1988,0,0,0,0,26,143,0,214,2018-07-26,-16 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180726-111615-739_L2A_T30TUM_C_V2-2_roi_0.tif,ITA,128,MEZCLA AVENA-TRIGO,0.0,0.0,N,SE,,CL,D,R,0,-1,trigo con mucha avena loca,358281.872979,4618417.485,,,,2.006,0.58947434211,,0.0,0.0,,,,,,,,,
71,POINT (356247.6463393164 4618482.430880356),2018-07-10,0.0471,0.076,0.126,0.2159,0.15,0.1789,0.2059,0.2539,0.2751,0.1702,0,0,0,0,26,143,0,206,2018-07-26,-16 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180726-111615-739_L2A_T30TUM_C_V2-2_roi_0.tif,ITA,135,CEBADA,75.0,10.0,N,SE,Parallel of the way,CL,D,R,0,NP,,356247.646338,4618482.43076,,,,3.868,0.29811071769,,0.0,0.0,,,,,,,,,
72,POINT (345499.01188371074 4603220.174347212),2018-04-05,0.029,0.0618,0.034,0.4034,0.1035,0.33,0.3936,0.4099,0.1537,0.075,0,0,0,0,33,153,0,62,2018-04-17,-12 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180417-110822-655_L2A_T30TUM_C_V2-2_roi_0.tif,Greg,102,RAYGRAS,20.0,35.0,N,GU,perpendicular al camino,CL,D,R,0,VPG,mezcla de gramíneas con leguminosas.  hay tb alfalfa y malas hierbas. las gramineas pueden ser avena y lolium q parece q esta en hileras sembrado. este lolium puede ser araygras y es el q predomina. fotos en W18A de SSM,345499.011883,4603220.17423,,,,0.348,0.09176055798,,0.0,0.0,,,,,,,,,
