,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,DHP,CAN-EYE Version,Species,NameESU,X-WGS84,Y-WGS84,PAIeff – CE,PAIeff CE V5.1,PAIeff – P57,PAIeff Miller,"PAIeff – LAI2000, 3 rings","PAIeff – LAI2000, 4 rings","PAIeff – LAI2000, 5 rings",PAItrue – CE,PAItrue – CE V5.1,PAItrue – P57,PAItrue – Miller
10,POINT (355259.0896156246 4811660.580328564),2017-11-28,0.0494,0.073,0.0648,0.3799,0.1273,0.3517,0.391,0.3989,0.1263,0.063,0,0,0,0,59,160,1,297,2018-02-10,-74 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180210-105158-460_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BON-33,1.211307,43.443861,1.51,1.58,1.51,1.51,1.91,1.7,1.48,3.57,3.13,3.57,1.7
11,POINT (354629.49327609537 4814171.369879725),2018-05-02,0.0169,0.0397,0.0191,0.4454,0.0616,0.3018,0.4342,0.4573,0.1102,0.0453,0,0,0,0,27,152,1,264,2018-05-11,-9 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180511-105804-037_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter wheat,BRA-12-18,1.202861,43.466336,2.55,,,,,,,3.41,,,
12,POINT (354981.35999888997 4814279.7849606825),2018-02-27,0.0332,0.0661,0.0556,0.2662,0.1164,0.2249,0.2484,0.2605,0.168,0.0977,0,0,0,0,52,158,1,264,2018-03-02,-3 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180302-105023-464_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.492,winter wheat,BRA-11-19,1.20718,43.4673799999999,1.07,1.0,1.08,1.03,0.96,0.99,0.89,1.6,1.31,1.6,1.06
13,POINT (354793.788638311 4814776.053129199),2017-11-27,0.0432,0.0702,0.0568,0.3389,0.1074,0.2915,0.3277,0.3411,0.1428,0.0772,0,0,0,0,65,168,1,260,2017-11-27,0 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171127-105827-648_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-59,1.20473,43.47181,0.98,1.03,0.98,0.93,1.3,1.19,1.0,2.14,1.89,2.14,0.98
14,POINT (354795.332944873 4814795.131114626),2018-04-05,0.0455,0.1351,0.1153,0.5045,0.169,0.4093,0.5008,0.5194,0.1401,0.0714,0,0,0,0,33,155,1,264,2018-04-21,-16 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180421-105629-233_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-59,1.204744,43.471982,1.5,1.6,1.5,1.63,2.32,1.94,1.62,2.16,1.96,2.16,1.81
15,POINT (354769.4331747949 4814809.912030646),2018-03-01,0.0413,0.0685,0.0635,0.3491,0.1129,0.3051,0.349,0.3659,0.151,0.0836,0,0,0,0,52,158,1,264,2018-03-02,-1 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180302-105023-464_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-59,1.20442,43.47211,0.85,0.88,0.85,0.84,1.02,0.99,0.84,1.83,1.46,1.83,0.88
16,POINT (354769.4331747949 4814809.912030646),2018-05-28,0.0401,0.0684,0.0887,0.204,0.1234,0.1584,0.1816,0.2239,0.1827,0.1077,0,0,0,0,23,144,1,263,2018-06-20,-23 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180620-105211-086_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-59,1.20442,43.47211,2.12,2.13,2.12,2.13,2.28,2.15,1.89,2.7,2.64,2.7,2.3
17,POINT (354769.4331747949 4814809.912030646),2018-05-04,0.0335,0.0666,0.0342,0.4616,0.0969,0.3719,0.4594,0.4757,0.0889,0.0398,0,0,0,0,27,152,1,264,2018-05-11,-7 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180511-105804-037_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-59,1.20442,43.47211,3.44,3.25,3.44,3.37,3.09,3.2,2.83,4.54,4.39,4.54,3.63
18,POINT (354986.772381886 4814906.895404011),2017-11-28,0.0392,0.0553,0.0546,0.3078,0.1168,0.2794,0.3086,0.3206,0.1109,0.0555,0,0,0,0,59,160,1,264,2018-02-10,-74 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180210-105158-460_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-61,1.20708,43.473025,1.32,1.54,1.32,1.54,2.08,1.77,1.46,2.69,2.6,2.69,1.58
19,POINT (356669.99044031696 4814911.41052826),2018-05-02,0.0301,0.0599,0.0485,0.2678,0.0922,0.2131,0.2511,0.2747,0.1321,0.0719,0,0,0,0,27,152,1,296,2018-05-11,-9 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180511-105804-037_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter barley,PAV-1,1.22788,43.47339,,,,,,,,,,,
