,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,FID_,X_UTM,Y_UTM,StudySite,ESUnumber,CropType,Scientific,CropHeight,Rowspacing,LeafType,PhenoState,RowOrienta,SkyCond,SamplStrat,Irrigation,b_Tilled,Operators,d_observa,LAI_g_B,fCover,LicorLAI,Pocket_LAI,AccuPAR,443_1,490_1,560_1,665_1,705_1,740_1,783_1,842_1,865_1,945_1,1610_1,2190_1
10,POINT (341171.1854011471 4598894.763115896),2017-06-14,0.1117,0.149,0.1939,0.2547,0.2075,0.2303,0.2469,0.2681,0.3914,0.3427,0,0,0,0,22,141,0,0,2017-06-11,3 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170611-111012-353_L2A_T30TUM_D_V1-4_roi_0.tif,45.0,341171.1854,4598894.763,Gsec,46.0,Bare soil,,0.0,0.0,,,,,,,0.0,VPG,tillage nivel 1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,POINT (343719.0136011294 4600672.778115908),2017-06-21,0.0577,0.0846,0.1308,0.2678,0.1634,0.2065,0.2402,0.3017,0.2481,0.1456,0,0,0,0,22,141,0,0,2017-06-11,10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170611-111012-353_L2A_T30TUM_D_V1-4_roi_0.tif,33.0,343719.0136,4600672.778,Greg,34.0,CEBADA,Hordeum vulgare,0.12,0.12,N,SE,300NW,PC,D,I,0.0,VPG,RASTROJO,b,0.0,0.632,1.18,1.044,0.0784,0.1365,0.1897,0.2803,0.3345,0.3453,0.3761,0.3898,0.435,0.385,0.4706,0.2957
12,POINT (344156.8590011263 4600715.0271159075),2017-06-21,0.0394,0.0629,0.0461,0.4043,0.098,0.331,0.4021,0.4352,0.2227,0.106,0,0,0,0,22,141,0,0,2017-06-11,10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170611-111012-353_L2A_T30TUM_D_V1-4_roi_0.tif,34.0,344156.859,4600715.027,Greg,35.0,ALFALFA,Medicago sativa,0.72,0.08,N,FL,340N,PC,D,I,0.0,VPG,parece que la han regado algo con cañon. hay una parte al fondo que esta mas baja e irregular. Medimos en la parte buena y regular,g,0.0,2.84,1.486666667,2.506,0.0559,0.0505,0.0752,0.0638,0.1225,0.3309,0.4045,0.4111,0.4355,0.4418,0.226,0.1234
13,POINT (343572.5465011307 4601039.01411592),2017-06-21,0.074,0.108,0.1541,0.2512,0.1824,0.2199,0.2425,0.2716,0.2604,0.1828,0,0,0,0,22,141,0,0,2017-06-11,10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170611-111012-353_L2A_T30TUM_D_V1-4_roi_0.tif,32.0,343572.5465,4601039.014,Greg,33.0,TRIGO,Triticum spp,0.52,0.12,N,SE,195SW,PC,D,I,0.0,VPG,,b,0.0,1.8,2.043333333,1.678,0.0754,0.0873,0.1252,0.1703,0.2086,0.2275,0.2408,0.2521,0.2733,0.2986,0.3,0.2099
14,POINT (339137.0282011628 4601379.571115923),2017-06-14,0.1014,0.1503,0.2159,0.2845,0.2394,0.2629,0.2768,0.3039,0.4232,0.3206,0,0,0,0,22,141,0,0,2017-06-11,3 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170611-111012-353_L2A_T30TUM_D_V1-4_roi_0.tif,47.0,339137.0282,4601379.571,Gsec,48.0,Bare soil,,0.0,0.0,,,,,,,0.0,VPG,tillage nivel 3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,POINT (339495.34040115966 4602413.563115933),2017-06-14,0.1284,0.1945,0.2617,0.302,0.2687,0.287,0.3016,0.3132,0.4216,0.3365,0,0,0,0,22,141,0,0,2017-06-11,3 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170611-111012-353_L2A_T30TUM_D_V1-4_roi_0.tif,46.0,339495.3404,4602413.563,Greg,47.0,Bare soil,,0.0,0.0,,,,,,,0.0,VPG,tillage nivel 2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,POINT (343544.2850011394 4624849.444116187),2017-06-21,0.0638,0.0979,0.1494,0.3223,0.1946,0.2631,0.3019,0.3474,0.3217,0.2093,0,0,0,0,22,141,0,0,2017-06-11,10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170611-111012-353_L2A_T30TUM_D_V1-4_roi_0.tif,24.0,343544.285,4624849.444,MR,25.0,MEZCLA AVENA-TRIGO,Triticum spp - Avena sativa,0.72,0.12,N,SE,175S,CL,D,R,0.0,VPG,principalmente avena. mas alta que la ESU 24 de la misma parcela,b,0.0,1.51,2.566666667,1.996,0.0726,0.084,0.1266,0.2034,0.2571,0.2915,0.3231,0.3466,0.3709,0.3629,0.3879,0.2529
17,POINT (343557.06740114035 4624903.450116187),2017-06-21,0.064,0.1039,0.1458,0.3208,0.1968,0.2664,0.2957,0.3448,0.3581,0.2276,0,0,0,0,22,141,0,0,2017-06-11,10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170611-111012-353_L2A_T30TUM_D_V1-4_roi_0.tif,23.0,343557.0674,4624903.45,MR,24.0,MEZCLA AVENA-TRIGO,Triticum spp - Avena sativa,0.45,0.12,N,SE,145SE,CL,D,R,0.0,VPG,principalmente avena a punto de cosechar. Vemos la cosechadora al final de la parcela. Hay una zona con avena mas alta y cerca un cerco con avena malnacida,b,0.0,1.65,1.973333333,0.9125,0.0641,0.0859,0.1278,0.2022,0.2583,0.2897,0.3161,0.3417,0.3654,0.3556,0.4206,0.2738
18,POINT (343615.19700113893 4624990.856116179),2017-06-21,0.0688,0.1247,0.176,0.3342,0.2339,0.2972,0.324,0.3535,0.3475,0.2431,0,0,0,0,22,141,0,0,2017-06-11,10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170611-111012-353_L2A_T30TUM_D_V1-4_roi_0.tif,22.0,343615.197,4624990.856,MR,23.0,LENTEJAS,Lens culinaris,0.2,0.14,N,SE,105E,CL,D,R,0.0,VPG,lentejas pardinas con plantas verdes. la misma parcela que el ESU22,b,0.0,0.744,0.81,1.2725,0.0667,0.0852,0.1342,0.2237,0.2657,0.2926,0.3215,0.3266,0.3569,0.3403,0.4253,0.3145
19,POINT (343604.16290114017 4625233.400116192),2017-06-21,0.0544,0.1039,0.1183,0.3353,0.1877,0.2884,0.3158,0.3442,0.2687,0.1753,0,0,0,0,22,141,0,0,2017-06-11,10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170611-111012-353_L2A_T30TUM_D_V1-4_roi_0.tif,21.0,343604.1629,4625233.4,MR,22.0,LENTEJAS,Lens culinaris,0.25,0.15,N,SE,105E,CL,D,R,0.0,VPG,con plantas verdes intercaladas,b,0.0,1.05,1.58,0.808,0.0714,0.0825,0.1231,0.197,0.2569,0.2981,0.324,0.334,0.3543,0.3448,0.3762,0.2631
20,POINT (345498.2800011177 4603264.299115936),2017-06-21,0.0724,0.1086,0.1266,0.3323,0.1863,0.2692,0.3075,0.3602,0.3822,0.2374,0,0,0,0,22,141,0,0,2017-06-11,10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170611-111012-353_L2A_T30TUM_D_V1-4_roi_0.tif,31.0,345498.28,4603264.299,Greg,32.0,ALFALFA,Medicago sativa,0.35,0.2,N,FL,125SE,PC,S,R,0.0,VPG,mucha mezcla d hierbas,g,0.0,0.863,0.976666667,1.05,0.0599,0.0559,0.0943,0.074,0.1614,0.3324,0.381,0.4025,0.4145,0.3811,0.3195,0.1868
21,POINT (345660.32270111656 4603682.450115952),2017-06-21,0.0369,0.0666,0.044,0.3682,0.1004,0.3251,0.3666,0.3744,0.2046,0.0965,0,0,0,0,22,141,0,0,2017-06-11,10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170611-111012-353_L2A_T30TUM_D_V1-4_roi_0.tif,29.0,345660.3227,4603682.45,Greg,30.0,GIRASOL,Helianthus annuus,1.3,0.75,B,FL,2N,PC,S,I,0.0,VPG,boton floral,g,0.0,2.45,2.153333333,2.568,0.0569,0.0508,0.0772,0.0637,0.1224,0.3547,0.4022,0.3837,0.4169,0.4456,0.2228,0.1098
22,POINT (345577.25170111726 4603705.574115952),2017-06-21,0.0366,0.0595,0.0508,0.3678,0.1161,0.2583,0.337,0.3797,0.1466,0.0772,0,0,0,0,22,141,0,0,2017-06-11,10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170611-111012-353_L2A_T30TUM_D_V1-4_roi_0.tif,28.0,345577.2517,4603705.574,Greg,29.0,TRIGO,Triticum spp,0.8,0.15,N,SE,230SW,PC,D,I,0.0,VPG,trigo regadio cobertura total,b,0.0,3.6,4.006666667,4.694,0.0566,0.0693,0.0987,0.1513,0.1819,0.2093,0.2443,0.2691,0.2976,0.3267,0.2325,0.137
23,POINT (347099.9545011057 4604868.695115964),2017-06-21,0.0849,0.1247,0.188,0.2948,0.2186,0.2552,0.2801,0.3102,0.348,0.2293,0,0,0,0,22,141,0,0,2017-06-11,10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170611-111012-353_L2A_T30TUM_D_V1-4_roi_0.tif,30.0,347099.9545,4604868.695,Greg,31.0,CEBADA,Hordeum vulgare,0.35,0.12,N,SE,,PC,D,R,0.0,VPG,espiga poco granada,b,0.0,1.11,1.636666667,1.286,0.0724,0.0937,0.1371,0.2167,0.2555,0.2735,0.2988,0.3096,0.3388,0.3399,0.3722,0.2396
