,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,DHP,CAN-EYE Version,Species,NameESU,X-WGS84,Y-WGS84,PAIeff – CE,PAIeff CE V5.1,PAIeff – P57,PAIeff Miller,"PAIeff – LAI2000, 3 rings","PAIeff – LAI2000, 4 rings","PAIeff – LAI2000, 5 rings",PAItrue – CE,PAItrue – CE V5.1,PAItrue – P57,PAItrue – Miller
20,POINT (356669.99044031696 4814911.41052826),2018-05-29,0.0363,0.074,0.0598,0.2788,0.1125,0.2327,0.2721,0.2992,0.1542,0.0921,0,0,0,0,25,150,1,296,2018-05-21,8 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180521-105702-711_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.491,winter barley,PAV-1,1.22788,43.47339,2.55,2.44,2.54,2.46,2.11,2.25,2.04,3.52,3.22,3.52,2.53
21,POINT (356669.99044031696 4814911.41052826),2018-06-20,0.0363,0.074,0.0598,0.2788,0.1125,0.2327,0.2721,0.2992,0.1542,0.0921,0,0,0,0,25,150,1,296,2018-05-21,30 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180521-105702-711_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter barley,PAV-1,1.22788,43.47339,0.23,0.24,0.23,0.23,0.37,0.29,0.25,0.25,0.25,0.25,0.27
22,POINT (356615.5403563947 4814949.79193479),2018-04-05,0.053,0.0875,0.0731,0.3044,0.1466,0.2764,0.3023,0.3107,0.1843,0.1132,0,0,0,0,45,157,1,296,2018-03-22,14 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180322-105809-862_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter barley,PAV-1,1.227197,43.473725,1.46,1.28,1.46,1.36,1.22,1.3,1.18,1.93,1.62,1.93,1.4
23,POINT (356583.6979309677 4815001.02553004),2018-02-27,0.0399,0.0756,0.045,0.341,0.1218,0.302,0.3368,0.3486,0.1762,0.0869,0,0,0,0,54,158,1,293,2018-02-25,2 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20180225-105018-458_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter barley,PAV-1,1.22679,43.47418,1.39,1.34,1.39,1.36,1.2,1.31,1.14,1.75,1.62,1.75,1.44
24,POINT (356905.39369078237 4815403.0682251705),2017-11-28,0.0485,0.0735,0.0742,0.2245,0.1096,0.1904,0.2087,0.2203,0.1592,0.1006,0,0,0,0,65,168,1,293,2017-11-27,1 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171127-105827-648_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BLA-5-13,1.23066,43.47786,0.34,0.34,0.33,0.35,0.39,0.35,0.3,0.62,0.45,0.62,0.36
25,POINT (356686.0020944063 4815435.512701485),2017-11-28,0.0404,0.0666,0.0422,0.4278,0.101,0.3583,0.4129,0.4248,0.1335,0.0536,0,0,0,0,65,168,1,293,2017-11-27,1 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171127-105827-648_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BLA-5-13-B,1.22794,43.47811,0.84,0.86,0.84,0.85,0.81,0.83,0.71,1.57,1.44,1.57,0.96
26,POINT (356891.32573221275 4815464.478141185),2018-05-28,0.0301,0.0619,0.0232,0.5058,0.0924,0.3931,0.4879,0.5012,0.0802,0.0353,0,0,0,0,25,150,1,296,2018-05-21,7 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180521-105702-711_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BLA-5-13,1.23047,43.47841,1.98,1.96,1.98,1.98,2.22,2.1,1.81,2.53,2.27,2.53,2.07
27,POINT (356891.32573221275 4815464.478141185),2018-05-04,0.0338,0.0541,0.041,0.344,0.0829,0.2757,0.3299,0.3404,0.1216,0.0725,0,0,0,0,45,157,1,296,2018-03-22,43 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180322-105809-862_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BLA-5-13,1.23047,43.47841,3.7,3.6,3.71,3.74,3.41,3.5,3.06,4.95,5.25,4.95,4.16
28,POINT (356891.32573221275 4815464.478141185),2018-04-05,0.0338,0.0541,0.041,0.344,0.0829,0.2757,0.3299,0.3404,0.1216,0.0725,0,0,0,0,45,157,1,296,2018-03-22,14 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180322-105809-862_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BLA-5-13,1.23047,43.47841,1.57,1.75,1.57,1.75,2.76,2.16,1.79,2.12,2.15,2.12,2.14
29,POINT (356867.32290124556 4815477.210606028),2018-02-27,0.0363,0.0552,0.0467,0.3548,0.1049,0.2834,0.3273,0.3438,0.1344,0.0692,0,0,0,0,54,158,1,293,2018-02-25,2 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20180225-105018-458_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BLA-5-13,1.23017,43.47852,0.74,0.7,0.74,0.75,0.93,0.8,0.71,1.13,1.03,1.13,0.85
