,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,Sequent_N,Ref_N,Hour_UTC+1,Operator,Latitude,Longitude,CropHeight,BBCH,Crop-EN,Crop-ES,Crop-FR,Crop-IT,Crop-LA,Crop-PL,Rowsp_(cm),RowOr(deg),SkyCond,LicorLAI,std_Licor,PocketLAI,std_PockLA,AccuPAR,std_AccuPA,Note
16,POINT (542122.2918367481 4610064.080860262),2017-03-22,0.0272,0.0489,0.0315,0.2863,0.0796,0.2423,0.2773,0.2887,0.1189,0.0681,0,0,0,0,40,155,0,0,2017-03-29,-7 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170329-095024-458_L2A_T33TWG_D_V1-4_roi_0.tif,54,AA.S_Capitanata.42_2017_LAI,11:04 AM,Riefolo C. - Ruggieri S.,41.641202,15.505783,10-30 cm,35,Horse beans,,,Favino,Vicia Faba var. minor Beck.,,,,Sunny - no clouds,0.600,0.000,,,,,
17,POINT (542221.2856432016 4610168.582795444),2017-03-22,0.0099,0.0292,0.0074,0.3752,0.0511,0.2691,0.3599,0.3811,0.1074,0.0456,0,0,0,0,40,155,0,0,2017-03-29,-7 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170329-095024-458_L2A_T33TWG_D_V1-4_roi_0.tif,55,AA.S_Capitanata.43_2017_LAI,11:06 AM,Riefolo C. - Ruggieri S.,41.642138,15.506979,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.030,0.160,,,,,
18,POINT (530328.5464690344 4593178.879131289),2017-04-13,0.0346,0.0703,0.0348,0.5444,0.1061,0.4505,0.532,0.5607,0.1971,0.0888,0,0,0,0,24,147,0,0,2017-05-18,-35 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170518-095716-529_L2A_T33TWG_D_V1-4_roi_0.tif,92,AA.V_LUCERA.CE_20170413_LAI,3:31 PM,Vonella V.,41.489650,15.363320,30-50 cm,51,Chickpea,,,Cece,Cicer arietinum L.,,,,Sunny - no clouds,1.896,0.257,,,,,
19,POINT (540500.4865393633 4603144.092386315),2017-03-21,0.0059,0.0163,0.0,0.5078,0.0311,0.3015,0.4908,0.5246,0.1129,0.0412,0,0,0,0,40,155,0,0,2017-03-29,-8 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170329-095024-458_L2A_T33TWG_D_V1-4_roi_0.tif,22,AA.S_Capitanata.10_2017_LAI,4:30 PM,Riefolo C. - Ruggieri S.,41.578958,15.485842,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,2.400,0.764,,,,,
20,POINT (541327.2501338124 4610803.5584951695),2017-03-22,0.0168,0.0429,0.0116,0.4774,0.0677,0.3373,0.4643,0.4843,0.1226,0.0498,0,0,0,0,40,155,0,0,2017-03-29,-7 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170329-095024-458_L2A_T33TWG_D_V1-4_roi_0.tif,61,AA.S_Capitanata.49_2017_LAI,11:47 AM,Riefolo C. - Ruggieri S.,41.647904,15.496288,>50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,4.230,0.490,,,,,
21,POINT (541418.6678790473 4610922.328246129),2017-03-22,0.0275,0.0636,0.0308,0.346,0.1021,0.2975,0.3464,0.3553,0.1441,0.0714,0,0,0,0,40,155,0,0,2017-03-29,-7 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170329-095024-458_L2A_T33TWG_D_V1-4_roi_0.tif,60,AA.S_Capitanata.48_2017_LAI,11:43 AM,Riefolo C. - Ruggieri S.,41.648969,15.497394,10-30 cm,35,Barley,,,Orzo,Hordeum vulgaris L.,,,,Sunny - no clouds,2.370,1.000,,,,,
22,POINT (541945.7859482203 4610253.901744339),2017-03-22,0.0177,0.0442,0.0084,0.5788,0.0743,0.4001,0.5593,0.5729,0.1481,0.0606,0,0,0,0,40,155,0,0,2017-03-29,-7 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170329-095024-458_L2A_T33TWG_D_V1-4_roi_0.tif,57,AA.S_Capitanata.45_2017_LAI,11:19 AM,Riefolo C. - Ruggieri S.,41.642921,15.503677,>50 cm,35,Barley,,,Orzo,Hordeum vulgaris L.,,,,Sunny - no clouds,5.630,0.610,,,,,
23,POINT (541983.719643792 4610346.719322259),2017-03-22,0.0416,0.0598,0.0654,0.1986,0.0825,0.1902,0.2151,0.2244,0.1587,0.1051,0,0,0,0,40,155,0,0,2017-03-29,-7 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170329-095024-458_L2A_T33TWG_D_V1-4_roi_0.tif,56,AA.S_Capitanata.44_2017_LAI,11:15 AM,Riefolo C. - Ruggieri S.,41.643755,15.504139,30-50 cm,38,Horse beans,,,Favino,Vicia Faba var. minor Beck.,,,,Sunny - no clouds,1.910,0.780,,,,,
24,POINT (541938.7897349251 4610382.318235534),2017-03-22,0.0121,0.0282,0.0039,0.4877,0.0511,0.3268,0.4801,0.499,0.1166,0.0438,0,0,0,0,40,155,0,0,2017-03-29,-7 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170329-095024-458_L2A_T33TWG_D_V1-4_roi_0.tif,58,AA.S_Capitanata.46_2017_LAI,11:23 AM,Riefolo C. - Ruggieri S.,41.644078,15.503602,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,2.760,0.440,,,,,
25,POINT (541938.7897349251 4610382.318235534),2017-03-22,0.0121,0.0282,0.0039,0.4877,0.0511,0.3268,0.4801,0.499,0.1166,0.0438,0,0,0,0,40,155,0,0,2017-03-29,-7 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170329-095024-458_L2A_T33TWG_D_V1-4_roi_0.tif,59,AA.S_Capitanata.47_2017_LAI,11:26 AM,Riefolo C. - Ruggieri S.,41.644078,15.503602,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.760,1.450,,,,,
