,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,Sequent_N,Ref_N,Hour_UTC+1,Operator,Latitude,Longitude,CropHeight,BBCH,Crop-EN,Crop-ES,Crop-FR,Crop-IT,Crop-LA,Crop-PL,Rowsp_(cm),RowOr(deg),SkyCond,LicorLAI,std_Licor,PocketLAI,std_PockLA,AccuPAR,std_AccuPA,Note
68,POINT (542696.6128024166 4609281.073515966),2017-03-22,0.0478,0.0645,0.0628,0.1865,0.0925,0.1696,0.1877,0.202,0.1807,0.1281,0,0,0,0,48,156,0,0,2017-03-09,13 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170309-095021-464_L2A_T33TWG_D_V1-4_roi_0.tif,51,AA.S_Capitanata.39_2017_LAI,10:47 AM,Riefolo C. - Ruggieri S.,41.634119,15.512623,>50 cm,40,Horse beans,,,Favino,Vicia Faba var. minor Beck.,,,,Sunny - no clouds,5.790,0.990,,,,,
23,POINT (541983.719643792 4610346.719322259),2017-03-22,0.0423,0.0559,0.0587,0.1417,0.0715,0.1194,0.1312,0.1434,0.1304,0.083,0,0,0,0,52,157,0,0,2017-02-27,23 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170227-095613-409_L2A_T33TWG_D_V1-4_roi_0.tif,56,AA.S_Capitanata.44_2017_LAI,11:15 AM,Riefolo C. - Ruggieri S.,41.643755,15.504139,30-50 cm,38,Horse beans,,,Favino,Vicia Faba var. minor Beck.,,,,Sunny - no clouds,1.910,0.780,,,,,
24,POINT (541938.7897349251 4610382.318235534),2017-03-22,0.0292,0.0484,0.0233,0.3281,0.0664,0.2681,0.327,0.3372,0.1176,0.0522,0,0,0,0,52,157,0,0,2017-02-27,23 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170227-095613-409_L2A_T33TWG_D_V1-4_roi_0.tif,58,AA.S_Capitanata.46_2017_LAI,11:23 AM,Riefolo C. - Ruggieri S.,41.644078,15.503602,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,2.760,0.440,,,,,
25,POINT (541938.7897349251 4610382.318235534),2017-03-22,0.0292,0.0484,0.0233,0.3281,0.0664,0.2681,0.327,0.3372,0.1176,0.0522,0,0,0,0,52,157,0,0,2017-02-27,23 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170227-095613-409_L2A_T33TWG_D_V1-4_roi_0.tif,59,AA.S_Capitanata.47_2017_LAI,11:26 AM,Riefolo C. - Ruggieri S.,41.644078,15.503602,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.760,1.450,,,,,
26,POINT (542377.9594574135 4590304.992224817),2017-03-29,0.0722,0.0926,0.1046,0.1987,0.1329,0.1771,0.1939,0.2163,0.2527,0.1782,0,0,0,0,52,157,0,0,2017-02-27,30 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170227-095613-409_L2A_T33TWG_D_V1-4_roi_0.tif,71,9NT_STRATEGA_20170329_LAI,10:26 AM,Colecchia S.A. - De Santis A.P.,41.463218,15.507459,30-50 cm,32,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,0.783,0.106,,,,,
27,POINT (542423.9867758902 4590431.05117124),2017-05-11,0.0569,0.0743,0.0759,0.1576,0.099,0.1459,0.1585,0.1717,0.1621,0.1042,0,0,0,0,52,157,0,0,2017-02-27,73 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170227-095613-409_L2A_T33TWG_D_V1-4_roi_0.tif,102,10CT_STRATEGA_20170511_LAI,8:17 AM,Colecchia S.A. - De Santis A.P.,41.464351,15.508019,>50 cm,69,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.787,0.141,,,,,
28,POINT (542423.9867758902 4590431.05117124),2017-03-29,0.0569,0.0743,0.0759,0.1576,0.099,0.1459,0.1585,0.1717,0.1621,0.1042,0,0,0,0,52,157,0,0,2017-02-27,30 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170227-095613-409_L2A_T33TWG_D_V1-4_roi_0.tif,72,10CT_STRATEGA_20170329_LAI,10:33 AM,Colecchia S.A. - De Santis A.P.,41.464351,15.508019,30-50 cm,32,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.700,1.067,,,,,
29,POINT (542761.5633632331 4590554.38909525),2017-04-05,0.0562,0.0739,0.0716,0.1583,0.0926,0.1434,0.1574,0.1684,0.1544,0.0991,0,0,0,0,52,157,0,0,2017-02-27,37 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170227-095613-409_L2A_T33TWG_D_V1-4_roi_0.tif,79,G_CREA-CI_20170405_LAI,11:41 AM,Colecchia S.A. - De Santis A.P.,41.465444,15.512070,30-50 cm,34,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.280,0.516,,,,,
30,POINT (542643.065641156 4596107.745216719),2017-03-21,0.0658,0.0859,0.0813,0.1746,0.1091,0.1646,0.1786,0.1891,0.159,0.1003,0,0,0,0,52,157,0,0,2017-02-27,22 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170227-095613-409_L2A_T33TWG_D_V1-4_roi_0.tif,13,AA.S_Capitanata.01_2017_LAI,11:32 AM,Riefolo C. - Ruggieri S.,41.515470,15.511044,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.900,0.113,,,,,
31,POINT (542643.065641156 4596107.745216719),2017-03-21,0.0658,0.0859,0.0813,0.1746,0.1091,0.1646,0.1786,0.1891,0.159,0.1003,0,0,0,0,52,157,0,0,2017-02-27,22 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170227-095613-409_L2A_T33TWG_D_V1-4_roi_0.tif,14,AA.S_Capitanata.02_2017_LAI,11:35 AM,Riefolo C. - Ruggieri S.,41.515470,15.511044,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.675,0.280,,,,,
32,POINT (542729.0692336403 4597126.677271284),2017-03-21,0.0423,0.0688,0.0488,0.2525,0.0902,0.2244,0.2545,0.2655,0.1442,0.0733,0,0,0,0,52,157,0,0,2017-02-27,22 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170227-095613-409_L2A_T33TWG_D_V1-4_roi_0.tif,15,AA.S_Capitanata.03_2017_LAI,11:55 AM,Riefolo C. - Ruggieri S.,41.524643,15.512147,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.175,0.233,,,,,
