,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,StudySite,ESUnumber,CropType,CropHeight,Rowspacing,LeafType,PhenoState,RowOrienta,SkyCond,SamplStrat,Irrigation,b_Tilled,Operators,d_observa,X_UTM,Y_UTM,LAI_g_B_mi,fCover,LicorLAI,LAI_AccuPA,SD_LAI_Acc,B443_1,B490_1,B560_1,B665_1,B705_1,B740_1,B783_1,B842_1,B865_1,B945_1,B1610_1,B2190_1
31,POINT (345234.044992807 4626243.902461903),2018-05-17,0.0974,0.1394,0.1934,0.2915,0.2219,0.2549,0.2749,0.3108,0.4393,0.3789,0,0,0,0,26,148,1,87,2018-05-12,5 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2B_20180512-111530-445_L2A_T30TUM_C_V2-2_roi_0.tif,MR,2119,REMOLACHA,6.0,50.0,B,GU,pivot,PC,D,I,0,VPG,With about 7-8 true leaves,345234.044992,4626243.90235,,,,0.098,0.06760177512,,0.0,0.0,,,,,,,,,
112,POINT (345706.29729834537 4627267.403774737),2018-07-11,0.0517,0.0804,0.069,0.3475,0.1214,0.2846,0.3396,0.3622,0.2273,0.1324,0,0,0,0,33,153,1,80,2018-04-17,85 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180417-110822-655_L2A_T30TUM_C_V2-2_roi_0.tif,MR,138,CENTENO,135.0,0.0,N,MA,,PC,D,I,0,VPG,LAI mixto,345706.297297,4627267.40366,,,,1.82,0.16015617378,,0.0,0.0,,,,,,,,,
79,POINT (345360.7838588333 4626318.568797745),2018-07-11,0.0716,0.1193,0.126,0.3907,0.1922,0.3412,0.3765,0.4073,0.3384,0.2392,0,0,0,0,22,140,1,82,2018-06-16,25 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180616-111245-493_L2A_T30TUM_C_V2-2_roi_0.tif,MR,5117,GARBANZOS,40.0,0.0,B,MA,,OV,D,R,0,VPG,Garbanzo con cercos secos,345360.783858,4626318.56868,,,,1.786,0.88505932005,,0.0,0.0,,,,,,,,,
114,POINT (346165.4825602518 4627313.321327907),2018-05-07,0.048,0.0724,0.0617,0.3333,0.115,0.2715,0.3245,0.3479,0.2317,0.1312,0,0,0,0,33,153,1,80,2018-04-17,20 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180417-110822-655_L2A_T30TUM_C_V2-2_roi_0.tif,MR,116,TRIGO BLANDO,60.0,12.0,N,GU,,CL,D,R,0,VPG,,346165.482559,4627313.32121,,,,2.908,0.77027267899,,0.0,0.0,,,,,,,,,
81,POINT (345352.41871949425 4626384.106187406),2018-05-17,0.081,0.1266,0.1819,0.2549,0.2064,0.2334,0.2531,0.2754,0.4276,0.3651,0,0,0,0,30,151,1,80,2018-04-27,20 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180427-111527-232_L2A_T30TUM_C_V2-2_roi_0.tif,MR,2117,GARBANZOS,15.0,15.0,B,GU,paralel to the path,PC,D,R,0,VPG,,345352.418718,4626384.10607,,,,0.144,0.09555103348,,0.0,0.0,,,,,,,,,
82,POINT (356885.35629684 4618545.506922261),2018-07-10,0.0779,0.1324,0.1374,0.3906,0.2028,0.3411,0.3779,0.3967,0.294,0.21,0,0,0,0,22,141,0,34,2018-06-16,24 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180616-111245-493_L2A_T30TUM_C_V2-2_roi_0.tif,ITA,133,CENTENO,100.0,20.0,N,SE,Paralel to the way,CL,D,R,0,NP,"Está en mal estado, muchos claros",356885.356296,4618545.50681,,,,0.852,0.60396191933,,0.0,0.0,,,,,,,,,
83,POINT (358310.8479694321 4618643.668225626),2018-07-10,0.0255,0.0479,0.0349,0.3832,0.0705,0.2595,0.3669,0.406,0.1255,0.0559,0,0,0,0,22,141,0,209,2018-06-16,24 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180616-111245-493_L2A_T30TUM_C_V2-2_roi_0.tif,ITA,129,TRIGO BLANDO,90.0,10.0,N,SE,parallel to the way,CL,D,R,0,VPG,,358310.847968,4618643.66811,,,,2.732,0.32797865784,,0.0,0.0,,,,,,,,,
16,POINT (343474.92910123424 4624957.476646975),2018-07-10,0.0518,0.0827,0.1274,0.2427,0.1646,0.193,0.221,0.2741,0.3172,0.2069,0,0,0,0,23,139,1,83,2018-07-06,4 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180706-110918-241_L2A_T30TUM_C_V2-2_roi_0.tif,MR,0,GUISANTES COSECHANDO,0.0,0.0,-1,-1,,-1,-1,-1,0,-1,cosechando a las 21:00,343474.9291,4624957.47653,,,,0.0,0.0,,0.0,0.0,,,,,,,,,
85,POINT (357211.36500724126 4618838.092488514),2018-07-10,0.0553,0.0959,0.0918,0.3886,0.1605,0.3117,0.3656,0.3844,0.2531,0.1754,0,0,0,0,22,141,0,34,2018-06-16,24 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180616-111245-493_L2A_T30TUM_C_V2-2_roi_0.tif,ITA,132,CEBADA,50.0,12.0,N,SE,Paralel to the way,CL,D,R,0,NP,,357211.365006,4618838.09237,,,,1.164,0.28605943438,,0.0,0.0,,,,,,,,,
86,POINT (358511.893410122 4618871.610880118),2018-07-10,0.0324,0.0553,0.0432,0.2852,0.0821,0.2188,0.2808,0.3059,0.1169,0.0612,0,0,0,0,22,141,0,209,2018-06-16,24 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180616-111245-493_L2A_T30TUM_C_V2-2_roi_0.tif,ITA,131,AVENA,95.0,0.0,N,SE,,CL,D,I,0,VPG,hay un poco verde pero la mayoria senescente,358511.893409,4618871.61076,,,,2.61,0.46968074263,,0.0,0.0,,,,,,,,,
