,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,DHP,CAN-EYE Version,Species,NameESU,X-WGS84,Y-WGS84,PAIeff – CE,PAIeff CE V5.1,PAIeff – P57,PAIeff Miller,"PAIeff – LAI2000, 3 rings","PAIeff – LAI2000, 4 rings","PAIeff – LAI2000, 5 rings",PAItrue – CE,PAItrue – CE V5.1,PAItrue – P57,PAItrue – Miller
18,POINT (354986.772381886 4814906.895404011),2017-11-28,0.0387,0.075,0.0419,0.4218,0.1125,0.3711,0.4102,0.424,0.1594,0.0665,0,0,0,0,60,168,1,260,2017-11-07,21 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171107-105753-766_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-61,1.20708,43.473025,1.32,1.54,1.32,1.54,2.08,1.77,1.46,2.69,2.6,2.69,1.58
17,POINT (354769.4331747949 4814809.912030646),2018-05-04,0.0463,0.1346,0.1161,0.4984,0.1644,0.4101,0.501,0.5108,0.1407,0.0712,0,0,0,0,33,155,1,264,2018-04-21,13 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180421-105629-233_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-59,1.20442,43.47211,3.44,3.25,3.44,3.37,3.09,3.2,2.83,4.54,4.39,4.54,3.63
24,POINT (356905.39369078237 4815403.0682251705),2017-11-28,0.0635,0.0972,0.1085,0.2345,0.1369,0.2069,0.2216,0.2323,0.2029,0.1431,0,0,0,0,63,169,1,293,2017-11-17,11 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171117-105314-464_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BLA-5-13,1.23066,43.47786,0.34,0.34,0.33,0.35,0.39,0.35,0.3,0.62,0.45,0.62,0.36
19,POINT (356669.99044031696 4814911.41052826),2018-05-02,0.0453,0.0792,0.0607,0.3046,0.1123,0.255,0.2948,0.3099,0.1513,0.0839,0,0,0,0,33,155,1,296,2018-04-21,11 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180421-105629-233_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter barley,PAV-1,1.22788,43.47339,,,,,,,,,,,
20,POINT (356669.99044031696 4814911.41052826),2018-05-29,0.0453,0.0792,0.0607,0.3046,0.1123,0.255,0.2948,0.3099,0.1513,0.0839,0,0,0,0,33,155,1,296,2018-04-21,38 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180421-105629-233_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.491,winter barley,PAV-1,1.22788,43.47339,2.55,2.44,2.54,2.46,2.11,2.25,2.04,3.52,3.22,3.52,2.53
53,POINT (356795.3553948401 4816426.183508198),2018-04-04,0.0484,0.082,0.0866,0.2489,0.1389,0.2166,0.2387,0.2538,0.1755,0.1036,0,0,0,0,52,158,1,296,2018-03-02,33 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180302-105023-464_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter wheat,BLA-1-4,1.229031,43.487047,1.43,1.44,1.43,1.45,1.39,1.39,1.22,1.71,1.57,1.71,1.5
24,POINT (356905.39369078237 4815403.0682251705),2017-11-28,0.0745,0.1094,0.1334,0.2318,0.1562,0.2062,0.2206,0.2273,0.2343,0.1793,0,0,0,0,60,168,1,266,2017-11-07,21 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171107-105753-766_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BLA-5-13,1.23066,43.47786,0.34,0.34,0.33,0.35,0.39,0.35,0.3,0.62,0.45,0.62,0.36
43,POINT (350863.23947100085 4817130.491957843),2018-04-05,0.0303,0.0461,0.0419,0.246,0.0848,0.2023,0.2402,0.2608,0.1301,0.0789,0,0,0,0,45,157,1,259,2018-03-22,14 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180322-105809-862_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter wheat,ANJ-28,1.155514,43.492226,2.18,2.21,2.18,2.21,1.85,1.96,1.74,2.99,2.82,2.99,2.4
48,POINT (350984.21837727993 4817493.826133969),2018-03-01,0.0435,0.0648,0.066,0.3244,0.113,0.2995,0.3405,0.3562,0.1125,0.0558,0,0,0,0,54,158,1,255,2018-02-25,4 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20180225-105018-458_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,ANJ-29,1.15691,43.49552,1.02,1.01,1.02,0.99,1.06,1.01,0.9,2.09,1.53,2.09,1.0
49,POINT (357028.9186555887 4816007.441314055),2018-02-27,0.0383,0.0597,0.0695,0.2857,0.1162,0.2545,0.2895,0.3244,0.1674,0.0936,0,0,0,0,54,158,1,293,2018-02-25,2 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20180225-105018-458_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BLA-1-6-B-Sud,1.232028,43.483323,0.87,0.9,0.87,0.88,1.14,1.01,0.87,1.08,0.91,1.08,0.89
54,POINT (356795.5194854366 4816426.2911276),2017-11-29,0.0854,0.1279,0.1614,0.1894,0.1722,0.1806,0.1892,0.2012,0.2518,0.2092,0,0,0,0,57,168,1,264,2017-10-28,32 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171028-105128-457_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter wheat,BLA-1-4,1.229033,43.487048,0.16,0.14,0.15,0.16,0.12,0.14,0.12,0.16,0.16,0.16,0.17
59,POINT (359133.3922350118 4813086.3496897975),2018-04-04,0.048,0.0889,0.0712,0.3468,0.1556,0.3116,0.3406,0.3511,0.1922,0.1071,0,0,0,0,52,158,2,296,2018-03-02,33 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180302-105023-464_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter barley,PAV-18-3-A,1.258795,43.457432,1.34,1.25,1.33,1.29,1.06,1.16,1.05,1.81,1.55,1.81,1.29
72,POINT (357167.28269570717 4814169.737223526),2017-11-28,0.082,0.127,0.1502,0.2388,0.1785,0.2219,0.2332,0.2462,0.254,0.2022,0,0,0,0,64,169,1,296,2017-11-22,6 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20171122-105612-379_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,MER-27,1.23422,43.46681,0.11,0.11,0.11,0.08,0.13,0.13,0.11,0.22,0.17,0.22,0.05
35,POINT (350772.4017245655 4816514.369943631),2017-11-28,0.0472,0.0719,0.0646,0.3724,0.15,0.3412,0.3658,0.3831,0.1504,0.0692,0,0,0,0,63,169,1,254,2017-11-17,11 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171117-105314-464_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,ANJ-23,1.15456,43.486663,0.64,0.66,0.64,0.66,0.84,0.72,0.63,1.11,0.88,1.12,0.74
72,POINT (357167.28269570717 4814169.737223526),2017-11-28,0.0524,0.0769,0.0908,0.1798,0.1178,0.1626,0.1693,0.181,0.1834,0.1308,0,0,0,0,65,168,1,293,2017-11-27,1 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171127-105827-648_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,MER-27,1.23422,43.46681,0.11,0.11,0.11,0.08,0.13,0.13,0.11,0.22,0.17,0.22,0.05
55,POINT (356795.5194854366 4816426.2911276),2018-02-27,0.0412,0.0781,0.0767,0.2272,0.126,0.2097,0.2264,0.2391,0.17,0.0995,0,0,0,0,54,158,1,293,2018-02-25,2 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20180225-105018-458_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter wheat,BLA-1-4,1.229033,43.487048,0.84,0.71,0.84,0.77,0.58,0.67,0.63,1.04,0.82,1.04,0.77
