,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,Sequent_N,Ref_N,Hour_UTC+1,Operator,Latitude,Longitude,CropHeight,BBCH,Crop-EN,Crop-ES,Crop-FR,Crop-IT,Crop-LA,Crop-PL,Rowsp_(cm),RowOr(deg),SkyCond,LicorLAI,std_Licor,PocketLAI,std_PockLA,AccuPAR,std_AccuPA,Note
40,POINT (541370.3131876583 4589907.021312927),2017-04-05,0.0406,0.0668,0.0706,0.2555,0.1201,0.2094,0.2381,0.272,0.2192,0.1384,0,0,0,0,24,147,0,0,2017-05-18,-43 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170518-095716-529_L2A_T33TWF_D_V1-4_roi_0.tif,74,B_CREA-CI_20170405_LAI,10:05 AM,Colecchia S.A. - De Santis A.P.,41.459686,15.495366,30-50 cm,34,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.267,0.236,,,,,
41,POINT (541398.2715172853 4590041.740748505),2017-04-05,0.0327,0.0591,0.0675,0.2141,0.1042,0.1781,0.2034,0.2352,0.1928,0.1245,0,0,0,0,24,147,0,0,2017-05-18,-43 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170518-095716-529_L2A_T33TWF_D_V1-4_roi_0.tif,73,A_CREA-CI_20170405_LAI,9:47 AM,Colecchia S.A. - De Santis A.P.,41.460898,15.495710,30-50 cm,34,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.303,0.029,,,,,
42,POINT (541194.9863294407 4590262.735188711),2017-04-05,0.0333,0.0522,0.0626,0.1898,0.1019,0.1576,0.1865,0.2138,0.1841,0.1297,0,0,0,0,24,147,0,0,2017-05-18,-43 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170518-095716-529_L2A_T33TWF_D_V1-4_roi_0.tif,75,C_CREA-CI_20170405_LAI,10:30 AM,Colecchia S.A. - De Santis A.P.,41.462899,15.493291,30-50 cm,34,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.843,0.387,,,,,
80,POINT (542377.9594574135 4590304.992224817),2017-03-29,0.0467,0.0728,0.0763,0.2491,0.1206,0.2113,0.2419,0.2696,0.261,0.1759,0,0,0,0,40,155,0,0,2017-03-29,0 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170329-095024-458_L2A_T33TWF_D_V1-4_roi_0.tif,71,9NT_STRATEGA_20170329_LAI,10:26 AM,Colecchia S.A. - De Santis A.P.,41.463218,15.507459,30-50 cm,32,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,0.783,0.106,,,,,
45,POINT (541531.8999201241 4590288.311550373),2017-06-15,0.0453,0.0803,0.0559,0.418,0.1146,0.3436,0.4177,0.4347,0.163,0.0887,0,0,0,0,28,146,1,254,2017-08-06,-52 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170806-095744-388_L2A_T33TWF_D_V1-7_roi_0.tif,130,A_Pomodoro_20170615_LAI,7:38 AM,Colecchia S.A. - De Santis A.P.,41.463112,15.497327,10-30 cm,61,Tomato,,,Pomodoro,Solanum licopersicum L.,,180,302,Sunny - no clouds,1.620,0.95,,,,,
82,POINT (542423.9867758902 4590431.05117124),2017-03-29,0.0388,0.0673,0.0581,0.2417,0.1028,0.2157,0.2443,0.2629,0.1898,0.1227,0,0,0,0,40,155,0,0,2017-03-29,0 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170329-095024-458_L2A_T33TWF_D_V1-4_roi_0.tif,72,10CT_STRATEGA_20170329_LAI,10:33 AM,Colecchia S.A. - De Santis A.P.,41.464351,15.508019,30-50 cm,32,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.700,1.067,,,,,
58,POINT (530328.5464690344 4593178.879131289),2017-04-13,0.057,0.0802,0.114,0.2034,0.1337,0.1638,0.1756,0.1936,0.1609,0.0928,0,0,0,0,22,139,0,0,2017-06-27,-75 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170627-095631-843_L2A_T33TWF_D_V1-4_roi_0.tif,92,AA.V_LUCERA.CE_20170413_LAI,3:31 PM,Vonella V.,41.489650,15.363320,30-50 cm,51,Chickpea,,,Cece,Cicer arietinum L.,,,,Sunny - no clouds,1.896,0.257,,,,,
84,POINT (542643.065641156 4596107.745216719),2017-03-21,0.0517,0.0807,0.0723,0.2518,0.1245,0.2275,0.2517,0.2712,0.2045,0.14,0,0,0,0,40,155,0,0,2017-03-29,-8 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170329-095024-458_L2A_T33TWF_D_V1-4_roi_0.tif,13,AA.S_Capitanata.01_2017_LAI,11:32 AM,Riefolo C. - Ruggieri S.,41.515470,15.511044,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.900,0.113,,,,,
85,POINT (542643.065641156 4596107.745216719),2017-03-21,0.0517,0.0807,0.0723,0.2518,0.1245,0.2275,0.2517,0.2712,0.2045,0.14,0,0,0,0,40,155,0,0,2017-03-29,-8 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170329-095024-458_L2A_T33TWF_D_V1-4_roi_0.tif,14,AA.S_Capitanata.02_2017_LAI,11:35 AM,Riefolo C. - Ruggieri S.,41.515470,15.511044,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.675,0.280,,,,,
86,POINT (542729.0692336403 4597126.677271284),2017-03-21,0.0129,0.0371,0.0087,0.4265,0.0655,0.3268,0.4339,0.4562,0.1301,0.0564,0,0,0,0,40,155,0,0,2017-03-29,-8 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170329-095024-458_L2A_T33TWF_D_V1-4_roi_0.tif,15,AA.S_Capitanata.03_2017_LAI,11:55 AM,Riefolo C. - Ruggieri S.,41.524643,15.512147,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.175,0.233,,,,,
