,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,Sequent_N,Ref_N,Hour_UTC+1,Operator,Latitude,Longitude,CropHeight,BBCH,Crop-EN,Crop-ES,Crop-FR,Crop-IT,Crop-LA,Crop-PL,Rowsp_(cm),RowOr(deg),SkyCond,LicorLAI,std_Licor,PocketLAI,std_PockLA,AccuPAR,std_AccuPA,Note
29,POINT (542761.5633632331 4590554.38909525),2017-04-05,0.0184,0.0417,0.0197,0.3638,0.0645,0.2809,0.3638,0.3871,0.1396,0.0658,0,0,0,0,36,154,0,0,2017-04-08,-3 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,79,G_CREA-CI_20170405_LAI,11:41 AM,Colecchia S.A. - De Santis A.P.,41.465444,15.512070,30-50 cm,34,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.280,0.516,,,,,
30,POINT (542643.065641156 4596107.745216719),2017-03-21,0.0426,0.0709,0.0638,0.2555,0.1185,0.222,0.2497,0.2666,0.1842,0.1242,0,0,0,0,36,154,0,0,2017-04-08,-18 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,13,AA.S_Capitanata.01_2017_LAI,11:32 AM,Riefolo C. - Ruggieri S.,41.515470,15.511044,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.900,0.113,,,,,
31,POINT (542643.065641156 4596107.745216719),2017-03-21,0.0426,0.0709,0.0638,0.2555,0.1185,0.222,0.2497,0.2666,0.1842,0.1242,0,0,0,0,36,154,0,0,2017-04-08,-18 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,14,AA.S_Capitanata.02_2017_LAI,11:35 AM,Riefolo C. - Ruggieri S.,41.515470,15.511044,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.675,0.280,,,,,
32,POINT (542729.0692336403 4597126.677271284),2017-03-21,0.0161,0.0408,0.0161,0.427,0.0706,0.3183,0.4253,0.4492,0.1309,0.0553,0,0,0,0,36,154,0,0,2017-04-08,-18 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,15,AA.S_Capitanata.03_2017_LAI,11:55 AM,Riefolo C. - Ruggieri S.,41.524643,15.512147,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.175,0.233,,,,,
33,POINT (542690.3698116635 4597222.92797065),2017-03-21,0.0082,0.0221,0.0028,0.433,0.0397,0.2783,0.4349,0.4588,0.1051,0.0391,0,0,0,0,36,154,0,0,2017-04-08,-18 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,16,AA.S_Capitanata.04_2017_LAI,12:00 PM,Riefolo C. - Ruggieri S.,41.525512,15.511690,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,4.560,0.566,,,,,
34,POINT (542690.3698116635 4597222.92797065),2017-03-21,0.0082,0.0221,0.0028,0.433,0.0397,0.2783,0.4349,0.4588,0.1051,0.0391,0,0,0,0,36,154,0,0,2017-04-08,-18 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,17,AA.S_Capitanata.05_2017_LAI,12:01 PM,Riefolo C. - Ruggieri S.,41.525512,15.511690,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,4.095,0.926,,,,,
35,POINT (548735.4124326664 4595655.383694973),2017-03-21,0.0248,0.0506,0.0277,0.4262,0.083,0.3207,0.419,0.4422,0.1575,0.0764,0,0,0,0,36,154,0,0,2017-04-08,-18 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,21,AA.S_Capitanata.09_2017_LAI,4:22 PM,Riefolo C. - Ruggieri S.,41.511048,15.584016,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.650,0.650,,,,,
36,POINT (543300.3164982036 4597159.284458977),2017-03-21,0.0168,0.0413,0.0184,0.4089,0.0633,0.3146,0.4328,0.4516,0.143,0.0635,0,0,0,0,36,154,0,0,2017-04-08,-18 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,18,AA.S_Capitanata.06_2017_LAI,12:11 PM,Riefolo C. - Ruggieri S.,41.524906,15.518996,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.365,0.262,,,,,
37,POINT (544754.2222629546 4598076.676401409),2017-03-22,0.0094,0.024,0.0043,0.5218,0.0434,0.3171,0.5173,0.5392,0.1265,0.0489,0,0,0,0,36,154,0,0,2017-04-08,-17 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,45,AA.S_Capitanata.33_2017_LAI,9:48 AM,Riefolo C. - Ruggieri S.,41.533089,15.536490,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,6.060,0.460,,,,,
38,POINT (545413.9190740222 4599483.047504193),2017-03-21,0.0363,0.0596,0.0327,0.5274,0.0961,0.4392,0.5322,0.5381,0.1372,0.052,0,0,0,0,36,154,0,0,2017-04-08,-18 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,44,AA.S_Capitanata.32_2017_LAI,6:41 PM,Riefolo C. - Ruggieri S.,41.545719,15.544504,30-50 cm,19,Brocoli,,,Broccolo,Brassica oleracea var. italica,,,,Sunny - no clouds,1.590,0.940,,,,,
