,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,DHP,CAN-EYE Version,Species,NameESU,X-WGS84,Y-WGS84,PAIeff – CE,PAIeff CE V5.1,PAIeff – P57,PAIeff Miller,"PAIeff – LAI2000, 3 rings","PAIeff – LAI2000, 4 rings","PAIeff – LAI2000, 5 rings",PAItrue – CE,PAItrue – CE V5.1,PAItrue – P57,PAItrue – Miller
41,POINT (350890.3057286424 4817092.446168891),2018-06-20,0.1156,0.1541,0.2068,0.27,0.2231,0.2463,0.2607,0.2917,0.3557,0.277,0,0,0,0,29,148,1,255,2018-08-04,-45 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20180804-105811-469_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter wheat,ANJ-28,1.155859,43.491889,0.19,0.19,0.19,0.2,0.22,0.21,0.17,0.21,0.22,0.21,0.21
78,POINT (357501.56609843497 4814745.983889385),2018-02-27,0.057,0.0906,0.0837,0.3865,0.1481,0.3306,0.3729,0.3784,0.1876,0.1073,0,0,0,0,52,158,2,296,2018-03-02,-3 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180302-105023-464_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,MER-37,1.2382,43.4720599999999,0.69,0.69,0.69,0.65,0.9,0.77,0.68,1.5,1.14,1.5,0.67
79,POINT (357109.40728736285 4816323.175367713),2018-02-27,0.0397,0.0635,0.0413,0.4857,0.1084,0.37,0.4515,0.4683,0.1469,0.0657,0,0,0,0,52,158,1,296,2018-03-02,-3 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180302-105023-464_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BLA-1-6,1.23294,43.48618,1.01,0.99,1.01,0.98,1.11,1.03,0.91,1.88,1.29,1.88,0.99
52,POINT (356795.3553948401 4816426.183508198),2018-05-29,0.0527,0.0843,0.1313,0.2262,0.1525,0.1831,0.2108,0.2539,0.2305,0.1405,0,0,0,0,23,144,1,296,2018-06-30,-32 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180630-105440-000_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.491,winter wheat,BLA-1-4,1.229031,43.487047,3.53,3.43,3.53,3.54,3.17,3.26,2.93,4.99,5.04,4.99,3.8
81,POINT (357109.40728736285 4816323.175367713),2017-11-29,0.2284,0.2236,0.2529,0.3198,0.2871,0.3413,0.3544,0.382,0.3015,0.2905,0,0,0,0,68,165,1,293,2017-12-27,-28 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171227-105435-461_L2A_T31TCJ_D_V1-4_roi_0.tif,DHP,V6.495,winter oilseedrape,BLA-1-6,1.23294,43.48618,1.06,1.08,1.05,1.13,1.45,1.23,1.06,1.98,1.62,1.98,1.29
2,POINT (354629.49327609537 4814171.369879725),2018-06-20,0.0984,0.1432,0.2043,0.2659,0.2187,0.2404,0.2628,0.2858,0.3482,0.2717,0,0,0,0,28,147,1,264,2018-07-30,-40 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180730-105204-866_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter wheat,BRA-12-18,1.202861,43.466336,0.07,0.08,0.08,0.09,0.13,0.1,0.08,0.08,0.08,0.08,0.1
25,POINT (356686.0020944063 4815435.512701485),2017-11-28,0.0325,0.0475,0.0497,0.3766,0.114,0.3123,0.3507,0.3709,0.11,0.0518,0,0,0,0,59,160,1,296,2018-02-10,-74 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180210-105158-460_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BLA-5-13-B,1.22794,43.47811,0.84,0.86,0.84,0.85,0.81,0.83,0.71,1.57,1.44,1.57,0.96
56,POINT (357035.0079319571 4817048.08688083),2018-05-28,0.1069,0.1553,0.2309,0.3772,0.262,0.3171,0.3523,0.4165,0.4319,0.2739,0,0,0,0,23,144,1,296,2018-06-30,-33 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180630-105440-000_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BOP-9,1.23183,43.49269,1.9,1.87,1.9,1.87,1.96,1.9,1.68,2.34,2.23,2.34,2.01
53,POINT (356795.3553948401 4816426.183508198),2018-04-04,0.0301,0.051,0.0344,0.409,0.0667,0.2801,0.3961,0.416,0.1287,0.0597,0,0,0,0,33,155,1,296,2018-04-21,-17 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180421-105629-233_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter wheat,BLA-1-4,1.229031,43.487047,1.43,1.44,1.43,1.45,1.39,1.39,1.22,1.71,1.57,1.71,1.5
16,POINT (354769.4331747949 4814809.912030646),2018-05-28,0.0377,0.0624,0.0916,0.1828,0.1143,0.1407,0.1581,0.1987,0.2242,0.1467,0,0,0,0,23,144,1,261,2018-06-25,-28 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20180625-105253-379_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-59,1.20442,43.47211,2.12,2.13,2.12,2.13,2.28,2.15,1.89,2.7,2.64,2.7,2.3
87,POINT (357367.1701126823 4816995.482327597),2018-02-27,0.0387,0.0673,0.0685,0.2634,0.1246,0.2388,0.2589,0.2725,0.1767,0.1033,0,0,0,0,52,158,1,296,2018-03-02,-3 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180302-105023-464_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.492,winter wheat,BLA-4,1.23595,43.49228,0.72,0.69,0.73,0.7,0.59,0.64,0.57,0.84,0.77,0.83,0.72
88,POINT (360528.7691026892 4813821.516874786),2018-02-27,0.0544,0.0721,0.0942,0.2254,0.1375,0.2242,0.2484,0.2527,0.1442,0.0843,0,0,0,0,52,158,2,295,2018-03-02,-3 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180302-105023-464_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BOX-4,1.275847,43.4643099999999,0.8,0.84,0.81,0.83,0.9,0.84,0.73,1.43,1.23,1.43,0.93
61,POINT (359171.75398383493 4813159.768230973),2018-06-20,0.1115,0.1588,0.2063,0.2589,0.2214,0.2458,0.2556,0.2744,0.312,0.2609,0,0,0,0,23,144,2,296,2018-06-30,-10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180630-105440-000_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter barley,PAV-18-3-A,1.25925,43.4581,0.27,0.37,0.27,0.25,0.63,0.46,0.39,0.3,0.42,0.3,0.26
20,POINT (356669.99044031696 4814911.41052826),2018-05-29,0.0956,0.1417,0.2198,0.3474,0.2575,0.2927,0.3247,0.3805,0.4351,0.2815,0,0,0,0,23,144,1,293,2018-06-25,-27 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20180625-105253-379_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.491,winter barley,PAV-1,1.22788,43.47339,2.55,2.44,2.54,2.46,2.11,2.25,2.04,3.52,3.22,3.52,2.53
